user_id,created_at,last_seen_at,email,acquisition_source,subscription_plan,plan_status,device_type,plan_start_date,plan_end_date,gender,age_group,age,campaign_id,utm_source,utm_campaign
usr_6b87a57bd775,2025-02-09 12:50:00,2025-07-09 00:05:00,jinhyeonu@example.net,referral,none,none,web,,,M,30s,39,cmp_003,google,sem24
usr_b95ee57a273a,2024-12-09 20:57:00,2025-07-19 09:29:00,wgim@example.com,referral,annual_pro,active,android,2024-12-16 20:57:00,,M,30s,35,cmp_001,facebook,spring24
usr_fc7ffc4130f7,2025-01-07 02:18:00,2025-07-20 12:57:00,coejaeho@example.com,facebook_ads,monthly_pro,active,ios,2025-05-16,,M,10s,16,cmp_003,google,sem24
usr_f0dbe9c02021,2025-01-25 11:14:00,2025-07-09 03:16:00,ngim@example.com,google_cpc,monthly_pro,active,android,2025-01-26 11:14:00,,F,40s,48,cmp_001,facebook,spring24
usr_6f08473e5134,2025-01-30 02:22:00,2025-07-03 02:55:00,gimujin@example.com,direct,none,none,android,,,M,30s,31,cmp_001,facebook,spring24
usr_b783533a534b,2025-02-04 20:40:00,2025-05-12 13:47:00,jeongja11@example.net,referral,annual_pro,canceled,ios,2025-02-09 20:40:00,2025-03-11 20:40:00,F,20s,25,cmp_003,google,sem24
usr_fcbd23c6f6df,2025-02-08 11:58:00,2025-07-17 05:16:00,wgweon@example.org,direct,annual_basic,active,ios,2025-02-16 11:58:00,,M,40s,49,cmp_002,referral,ref_buddy
usr_0d0ed31f5e17,2025-01-04 21:24:00,2025-06-30 03:12:00,gimareum@example.com,google_cpc,annual_pro,canceled,web,2025-01-14 21:24:00,2025-02-13 21:24:00,F,20s,29,cmp_001,facebook,spring24
usr_bc19e08bdfbe,2024-12-10 05:54:00,2025-07-17 03:56:00,vi@example.org,direct,none,none,ios,,,F,10s,11,cmp_001,facebook,spring24
usr_aaf25a479999,2025-02-06 22:59:00,2025-07-20 12:34:00,gyeonghyi96@example.org,referral,monthly_basic,active,ios,2025-04-08,,F,20s,23,cmp_002,referral,ref_buddy
usr_8df7174793f4,2025-02-25 04:10:00,2025-07-15 07:58:00,ayun@example.net,direct,annual_basic,active,ios,2025-03-06 04:10:00,,M,40s,49,cmp_001,facebook,spring24
usr_2b0c7bbc467f,2025-01-03 18:30:00,2025-06-07 06:48:00,xgweon@example.com,organic,none,none,ios,,,M,10s,18,cmp_003,google,sem24
usr_7a0f281216b2,2024-12-28 07:03:00,2025-06-12 21:26:00,seohyeonbag@example.net,referral,none,none,android,,,F,50s,52,cmp_003,google,sem24
usr_bc37c1c9df4a,2024-12-12 11:29:00,2025-07-19 22:39:00,hgim@example.net,google_cpc,monthly_basic,active,web,2024-12-13 11:29:00,,M,50s,54,cmp_002,referral,ref_buddy
usr_7c263eee48f9,2025-02-26 23:38:00,2025-07-15 00:54:00,munseongmin@example.net,organic,annual_basic,active,ios,2025-03-02 23:38:00,,F,60s,62,cmp_003,google,sem24
